source,kanji,reading
JMDict,い辛っぽい,えがらっぽい
JMDict,蘞辛っぽい,いがらっぽい
JMDict,孔雀羊歯,クジャクシダ
JMDict,パス名の構成要素,パスめいのこうせいようそ
JMDict,孔雀草,クジャクソウ
JMDict,榎,エノキ
JMDict,朴,エノキ
JMDict,燐酸ナトリウム,リンさんナトリウム
JMDict,万寿菊,マンジュギク
JMDict,リン酸ナトリウム,りんさんナトリウム
JMDict,孔雀蝶,クジャクチョウ
JMDict,燐酸エステル,リンさんエステル
JMDict,リン酸エステル,りんさんエステル
JMDict,樟科,くすのきか
JMDict,クスノキ科,くすのきか
JMDict,樟科,クスノキか
JMDict,ライフｗｉｔｈマイキー,ライフウィスマイキー
JMDict,パック１０進表記法,パックじっしんひょうきほう
JMDict,パック１十進表記法,パックじっしんひょうきほう
JMDict,蜘蛛猿,クモザル
JMDict,蜘蛛の巣黴,クモノスカビ
JMDict,偉そう,えらそー
JMDict,偉そう,エラソー
JMDict,ラブｉｎローマ,ラブインローマ
JMDict,パラメタ空間,パラメタくうかん
JMDict,ラヴ＆カタストロフィ,ラヴアンドカタストロフィ
JMDict,パラメタ結合,パラメタけつごう
JMDict,パラメタ識別子,パラメタしきべつし
JMDict,パラメタ値,パラメタち
JMDict,パラメタ範囲,パラメタはんい
JMDict,パラレルＺｉｐ,パラレルジップ
JMDict,クラウン硝子,クラウン・ガラス
JMDict,麻婆ナス,マーボーなす
JMDict,麻婆茄子,マーボーなす
JMDict,麻婆なす,マーボーなす
JMDict,麻婆ナス,マーボなす
JMDict,麻婆茄子,マーボなす
JMDict,麻婆なす,マーボなす
JMDict,麻婆ナス,マーボーナス
JMDict,麻婆茄子,マーボーナス
JMDict,麻婆なす,マーボーナス
JMDict,麻婆ナス,マーボナス
JMDict,麻婆茄子,マーボナス
JMDict,麻婆なす,マーボナス
JMDict,魚香,ユーシャン
JMDict,ＱＯＬ,キュー・オー・エル
JMDict,蛇床子,ジャショウシ
JMDict,梟猛,きょうもう
JMDict,上ル,アガる
JMDict,髭トリマー,ヒゲトリマー
JMDict,ロジャー＆ミー,ロジャーアンドミー
JMDict,巴豆,ハズ
JMDict,船饅頭,ふなまんじゅう
JMDict,ロウソク屋,ろうそくや
JMDict,ろうそく屋,ロウソクや
JMDict,蝋燭屋,ロウソクや
JMDict,蠟燭屋,ロウソクや
JMDict,仙草,センソウ
JMDict,Ｂ－ＩＳＤＮ,ビーアイエスディーエヌ
JMDict,Ｂ－ＩＳＤＮ,ビー・アイ・エス・ディー・エヌ
JMDict,ＢＥＲ,ビー・イー・アール
JMDict,ＢＳＤ,ビー・エス・ディー
JMDict,持合せ,もちあわせ
JMDict,蛍烏賊,ホタルイカ
JMDict,ロミオ＆ジュリア,ロミオアンドジュリア
JMDict,ＢＭＰ,ビー・エム・ピー
JMDict,ロミオ＆ジュリエット,ロミオアンドジュリエット
JMDict,ｂｃｃ,ビー・シー・シー
JMDict,ｂｃｃ,ビーシーシー
JMDict,ビームペネトレーションＣＲＴ,ビームペネトレーションシーアルティー
JMDict,藤五郎鰯,トウゴロウイワシ
JMDict,頭五郎鰯,トウゴロウイワシ
JMDict,美膚,びき
JMDict,鼠チフス菌,ネズミチフスきん
JMDict,ネズミチフス菌,ねずみチフスきん
JMDict,山葵が利く,ワサビがきく
JMDict,ビット組合せ,ビットくみあわせ
JMDict,ヴィッセル神戸,ヴィッセルこうべ
JMDict,珪化物,ケイかぶつ
JMDict,九一,クッピン
JMDict,ケイ化物,けいかぶつ
JMDict,毛黴,ケカビ
JMDict,ビデオＲＡＭ,ビデオラム
JMDict,剣微塵子,ケンミジンコ
JMDict,外連味,ケレンみ
JMDict,けれん味,ケレンみ
JMDict,ケレン味,けれんみ
JMDict,提灯行列,ちょうちんぎょうれつ
JMDict,提灯持,ちょうちんもち
JMDict,提灯持ち,ちょうちんもち
JMDict,青血引,アオチビキ
JMDict,法華経,ほけきょう
JMDict,青武鯛,アオブダイ
JMDict,Ｖｉｍ,ヴィアイエム
JMDict,Ｖｉｍ,ヴィム
JMDict,Ｖｉｍ,ブイアイエム
JMDict,激かわ,げきカワ
JMDict,激カワ,げきかわ
JMDict,赤舌鮃,アカシタビラメ
JMDict,青魚,アオウオ
JMDict,紋殻皮剥,モンガラカワハギ
JMDict,紋殻皮剝,モンガラカワハギ
JMDict,小谷渡り,コタニワタリ
JMDict,小谷渡,コタニワタリ
